,City_Name,FIPS_Code,Population,Bedroom_Size
0,"Abilene, TX",4801000,123676,4
1,"Abilene, TX",4801000,123676,5
2,"Abilene, TX",4801000,123676,0
3,"Abilene, TX",4801000,123676,1
4,"Abilene, TX",4801000,123676,2
5,"Abilene, TX",4801000,123676,3
6,"Addison, TX",4801240,15626,4
7,"Addison, TX",4801240,15626,5
8,"Addison, TX",4801240,15626,0
9,"Addison, TX",4801240,15626,1
10,"Addison, TX",4801240,15626,2
11,"Addison, TX",4801240,15626,3
12,"Allen, TX",4801924,99255,4
13,"Allen, TX",4801924,99255,5
14,"Allen, TX",4801924,99255,0
15,"Allen, TX",4801924,99255,1
16,"Allen, TX",4801924,99255,2
17,"Allen, TX",4801924,99255,3
18,"Amarillo, TX",4803000,198773,4
19,"Amarillo, TX",4803000,198773,5
20,"Amarillo, TX",4803000,198773,0
21,"Amarillo, TX",4803000,198773,1
22,"Amarillo, TX",4803000,198773,2
23,"Amarillo, TX",4803000,198773,3
24,"Arlington, TX",4804000,392462,4
25,"Arlington, TX",4804000,392462,5
26,"Arlington, TX",4804000,392462,0
27,"Arlington, TX",4804000,392462,1
28,"Arlington, TX",4804000,392462,2
29,"Arlington, TX",4804000,392462,3
30,"Austin, TX",4805000,935755,4
31,"Austin, TX",4805000,935755,5
32,"Austin, TX",4805000,935755,0
33,"Austin, TX",4805000,935755,1
34,"Austin, TX",4805000,935755,2
35,"Austin, TX",4805000,935755,3
36,"Baytown, TX",4806128,76581,4
37,"Baytown, TX",4806128,76581,5
38,"Baytown, TX",4806128,76581,0
39,"Baytown, TX",4806128,76581,1
40,"Baytown, TX",4806128,76581,2
41,"Baytown, TX",4806128,76581,3
42,"Beaumont, TX",4807000,118632,4
43,"Beaumont, TX",4807000,118632,5
44,"Beaumont, TX",4807000,118632,0
45,"Beaumont, TX",4807000,118632,1
46,"Beaumont, TX",4807000,118632,2
47,"Beaumont, TX",4807000,118632,3
48,"Bedford, TX",4807132,49306,4
49,"Bedford, TX",4807132,49306,5
50,"Bedford, TX",4807132,49306,0
51,"Bedford, TX",4807132,49306,1
52,"Bedford, TX",4807132,49306,2
53,"Bedford, TX",4807132,49306,3
54,"Bryan, TX",4810912,83199,4
55,"Bryan, TX",4810912,83199,5
56,"Bryan, TX",4810912,83199,0
57,"Bryan, TX",4810912,83199,1
58,"Bryan, TX",4810912,83199,2
59,"Bryan, TX",4810912,83199,3
60,"Carrollton, TX",4813024,133438,4
61,"Carrollton, TX",4813024,133438,5
62,"Carrollton, TX",4813024,133438,0
63,"Carrollton, TX",4813024,133438,1
64,"Carrollton, TX",4813024,133438,2
65,"Carrollton, TX",4813024,133438,3
66,"Cedar Park, TX",4813552,72415,4
67,"Cedar Park, TX",4813552,72415,5
68,"Cedar Park, TX",4813552,72415,0
69,"Cedar Park, TX",4813552,72415,1
70,"Cedar Park, TX",4813552,72415,2
71,"Cedar Park, TX",4813552,72415,3
72,"College Station, TX",4815976,110782,4
73,"College Station, TX",4815976,110782,5
74,"College Station, TX",4815976,110782,0
75,"College Station, TX",4815976,110782,1
76,"College Station, TX",4815976,110782,2
77,"College Station, TX",4815976,110782,3
78,"Conroe, TX",4816432,80893,4
79,"Conroe, TX",4816432,80893,5
80,"Conroe, TX",4816432,80893,0
81,"Conroe, TX",4816432,80893,1
82,"Conroe, TX",4816432,80893,2
83,"Conroe, TX",4816432,80893,3
84,"Coppell, TX",4816612,41512,4
85,"Coppell, TX",4816612,41512,5
86,"Coppell, TX",4816612,41512,0
87,"Coppell, TX",4816612,41512,1
88,"Coppell, TX",4816612,41512,2
89,"Coppell, TX",4816612,41512,3
90,"Corpus Christi, TX",4817000,324692,4
91,"Corpus Christi, TX",4817000,324692,5
92,"Corpus Christi, TX",4817000,324692,0
93,"Corpus Christi, TX",4817000,324692,1
94,"Corpus Christi, TX",4817000,324692,2
95,"Corpus Christi, TX",4817000,324692,3
96,"Dallas, TX",4819000,1318806,4
97,"Dallas, TX",4819000,1318806,5
98,"Dallas, TX",4819000,1318806,0
99,"Dallas, TX",4819000,1318806,1
100,"Dallas, TX",4819000,1318806,2
101,"Dallas, TX",4819000,1318806,3
102,"Denton, TX",4819972,133661,4
103,"Denton, TX",4819972,133661,5
104,"Denton, TX",4819972,133661,0
105,"Denton, TX",4819972,133661,1
106,"Denton, TX",4819972,133661,2
107,"Denton, TX",4819972,133661,3
108,"El Paso, TX",4824000,680354,4
109,"El Paso, TX",4824000,680354,5
110,"El Paso, TX",4824000,680354,0
111,"El Paso, TX",4824000,680354,1
112,"El Paso, TX",4824000,680354,2
113,"El Paso, TX",4824000,680354,3
114,"Euless, TX",4824768,55047,4
115,"Euless, TX",4824768,55047,5
116,"Euless, TX",4824768,55047,0
117,"Euless, TX",4824768,55047,1
118,"Euless, TX",4824768,55047,2
119,"Euless, TX",4824768,55047,3
120,"Farmers Branch, TX",4825452,35552,4
121,"Farmers Branch, TX",4825452,35552,5
122,"Farmers Branch, TX",4825452,35552,0
123,"Farmers Branch, TX",4825452,35552,1
124,"Farmers Branch, TX",4825452,35552,2
125,"Farmers Branch, TX",4825452,35552,3
126,"Flower Mound, TX",4826232,73252,4
127,"Flower Mound, TX",4826232,73252,5
128,"Flower Mound, TX",4826232,73252,0
129,"Flower Mound, TX",4826232,73252,1
130,"Flower Mound, TX",4826232,73252,2
131,"Flower Mound, TX",4826232,73252,3
132,"Fort Worth, TX",4827000,855786,4
133,"Fort Worth, TX",4827000,855786,5
134,"Fort Worth, TX",4827000,855786,0
135,"Fort Worth, TX",4827000,855786,1
136,"Fort Worth, TX",4827000,855786,2
137,"Fort Worth, TX",4827000,855786,3
138,"Frisco, TX",4827684,165700,4
139,"Frisco, TX",4827684,165700,5
140,"Frisco, TX",4827684,165700,0
141,"Frisco, TX",4827684,165700,1
142,"Frisco, TX",4827684,165700,2
143,"Frisco, TX",4827684,165700,3
144,"Galveston, TX",4828068,50039,4
145,"Galveston, TX",4828068,50039,5
146,"Galveston, TX",4828068,50039,0
147,"Galveston, TX",4828068,50039,1
148,"Galveston, TX",4828068,50039,2
149,"Galveston, TX",4828068,50039,3
150,"Garland, TX",4829000,237982,4
151,"Garland, TX",4829000,237982,5
152,"Garland, TX",4829000,237982,0
153,"Garland, TX",4829000,237982,1
154,"Garland, TX",4829000,237982,2
155,"Garland, TX",4829000,237982,3
156,"Georgetown, TX",4829336,66804,4
157,"Georgetown, TX",4829336,66804,5
158,"Georgetown, TX",4829336,66804,0
159,"Georgetown, TX",4829336,66804,1
160,"Georgetown, TX",4829336,66804,2
161,"Georgetown, TX",4829336,66804,3
162,"Grand Prairie, TX",4830464,191104,4
163,"Grand Prairie, TX",4830464,191104,5
164,"Grand Prairie, TX",4830464,191104,0
165,"Grand Prairie, TX",4830464,191104,1
166,"Grand Prairie, TX",4830464,191104,2
167,"Grand Prairie, TX",4830464,191104,3
168,"Grapevine, TX",4830644,52486,4
169,"Grapevine, TX",4830644,52486,5
170,"Grapevine, TX",4830644,52486,0
171,"Grapevine, TX",4830644,52486,1
172,"Grapevine, TX",4830644,52486,2
173,"Grapevine, TX",4830644,52486,3
174,"Houston, TX",4835000,2295982,4
175,"Houston, TX",4835000,2295982,5
176,"Houston, TX",4835000,2295982,0
177,"Houston, TX",4835000,2295982,1
178,"Houston, TX",4835000,2295982,2
179,"Houston, TX",4835000,2295982,3
180,"Humble, TX",4835348,15861,4
181,"Humble, TX",4835348,15861,5
182,"Humble, TX",4835348,15861,0
183,"Humble, TX",4835348,15861,1
184,"Humble, TX",4835348,15861,2
185,"Humble, TX",4835348,15861,3
186,"Irving, TX",4837000,238637,4
187,"Irving, TX",4837000,238637,5
188,"Irving, TX",4837000,238637,0
189,"Irving, TX",4837000,238637,1
190,"Irving, TX",4837000,238637,2
191,"Irving, TX",4837000,238637,3
192,"Katy, TX",4838476,18094,4
193,"Katy, TX",4838476,18094,5
194,"Katy, TX",4838476,18094,0
195,"Katy, TX",4838476,18094,1
196,"Katy, TX",4838476,18094,2
197,"Katy, TX",4838476,18094,3
198,"Killeen, TX",4839148,143070,4
199,"Killeen, TX",4839148,143070,5
200,"Killeen, TX",4839148,143070,0
201,"Killeen, TX",4839148,143070,1
202,"Killeen, TX",4839148,143070,2
203,"Killeen, TX",4839148,143070,3
204,"Kyle, TX",4839952,39857,4
205,"Kyle, TX",4839952,39857,5
206,"Kyle, TX",4839952,39857,0
207,"Kyle, TX",4839952,39857,1
208,"Kyle, TX",4839952,39857,2
209,"Kyle, TX",4839952,39857,3
210,"League City, TX",4841980,100832,4
211,"League City, TX",4841980,100832,5
212,"League City, TX",4841980,100832,0
213,"League City, TX",4841980,100832,1
214,"League City, TX",4841980,100832,2
215,"League City, TX",4841980,100832,3
216,"Leander, TX",4842016,46419,4
217,"Leander, TX",4842016,46419,5
218,"Leander, TX",4842016,46419,0
219,"Leander, TX",4842016,46419,1
220,"Leander, TX",4842016,46419,2
221,"Leander, TX",4842016,46419,3
222,"Lewisville, TX",4842508,104789,4
223,"Lewisville, TX",4842508,104789,5
224,"Lewisville, TX",4842508,104789,0
225,"Lewisville, TX",4842508,104789,1
226,"Lewisville, TX",4842508,104789,2
227,"Lewisville, TX",4842508,104789,3
228,"Live Oak, TX",4843096,15595,4
229,"Live Oak, TX",4843096,15595,5
230,"Live Oak, TX",4843096,15595,0
231,"Live Oak, TX",4843096,15595,1
232,"Live Oak, TX",4843096,15595,2
233,"Live Oak, TX",4843096,15595,3
234,"Lubbock, TX",4845000,250415,4
235,"Lubbock, TX",4845000,250415,5
236,"Lubbock, TX",4845000,250415,0
237,"Lubbock, TX",4845000,250415,1
238,"Lubbock, TX",4845000,250415,2
239,"Lubbock, TX",4845000,250415,3
240,"McAllen, TX",4845384,141597,4
241,"McAllen, TX",4845384,141597,5
242,"McAllen, TX",4845384,141597,0
243,"McAllen, TX",4845384,141597,1
244,"McAllen, TX",4845384,141597,2
245,"McAllen, TX",4845384,141597,3
246,"McKinney, TX",4845744,173460,4
247,"McKinney, TX",4845744,173460,5
248,"McKinney, TX",4845744,173460,0
249,"McKinney, TX",4845744,173460,1
250,"McKinney, TX",4845744,173460,2
251,"McKinney, TX",4845744,173460,3
252,"Mansfield, TX",4846452,67492,4
253,"Mansfield, TX",4846452,67492,5
254,"Mansfield, TX",4846452,67492,0
255,"Mansfield, TX",4846452,67492,1
256,"Mansfield, TX",4846452,67492,2
257,"Mansfield, TX",4846452,67492,3
258,"Mesquite, TX",4847892,144250,4
259,"Mesquite, TX",4847892,144250,5
260,"Mesquite, TX",4847892,144250,0
261,"Mesquite, TX",4847892,144250,1
262,"Mesquite, TX",4847892,144250,2
263,"Mesquite, TX",4847892,144250,3
264,"Midland, TX",4848072,135134,4
265,"Midland, TX",4848072,135134,5
266,"Midland, TX",4848072,135134,0
267,"Midland, TX",4848072,135134,1
268,"Midland, TX",4848072,135134,2
269,"Midland, TX",4848072,135134,3
270,"New Braunfels, TX",4850820,74587,4
271,"New Braunfels, TX",4850820,74587,5
272,"New Braunfels, TX",4850820,74587,0
273,"New Braunfels, TX",4850820,74587,1
274,"New Braunfels, TX",4850820,74587,2
275,"New Braunfels, TX",4850820,74587,3
276,"North Richland Hills, TX",4852356,69800,4
277,"North Richland Hills, TX",4852356,69800,5
278,"North Richland Hills, TX",4852356,69800,0
279,"North Richland Hills, TX",4852356,69800,1
280,"North Richland Hills, TX",4852356,69800,2
281,"North Richland Hills, TX",4852356,69800,3
282,"Odessa, TX",4853388,118582,4
283,"Odessa, TX",4853388,118582,5
284,"Odessa, TX",4853388,118582,0
285,"Odessa, TX",4853388,118582,1
286,"Odessa, TX",4853388,118582,2
287,"Odessa, TX",4853388,118582,3
288,"Pasadena, TX",4856000,154193,4
289,"Pasadena, TX",4856000,154193,5
290,"Pasadena, TX",4856000,154193,0
291,"Pasadena, TX",4856000,154193,1
292,"Pasadena, TX",4856000,154193,2
293,"Pasadena, TX",4856000,154193,3
294,"Pearland, TX",4856348,117867,4
295,"Pearland, TX",4856348,117867,5
296,"Pearland, TX",4856348,117867,0
297,"Pearland, TX",4856348,117867,1
298,"Pearland, TX",4856348,117867,2
299,"Pearland, TX",4856348,117867,3
300,"Pflugerville, TX",4857176,59757,4
301,"Pflugerville, TX",4857176,59757,5
302,"Pflugerville, TX",4857176,59757,0
303,"Pflugerville, TX",4857176,59757,1
304,"Pflugerville, TX",4857176,59757,2
305,"Pflugerville, TX",4857176,59757,3
306,"Plano, TX",4858016,284579,4
307,"Plano, TX",4858016,284579,5
308,"Plano, TX",4858016,284579,0
309,"Plano, TX",4858016,284579,1
310,"Plano, TX",4858016,284579,2
311,"Plano, TX",4858016,284579,3
312,"Richardson, TX",4861796,114402,4
313,"Richardson, TX",4861796,114402,5
314,"Richardson, TX",4861796,114402,0
315,"Richardson, TX",4861796,114402,1
316,"Richardson, TX",4861796,114402,2
317,"Richardson, TX",4861796,114402,3
318,"Richmond, TX",4861892,12084,4
319,"Richmond, TX",4861892,12084,5
320,"Richmond, TX",4861892,12084,0
321,"Richmond, TX",4861892,12084,1
322,"Richmond, TX",4861892,12084,2
323,"Richmond, TX",4861892,12084,3
324,"Rockwall, TX",4862828,43157,4
325,"Rockwall, TX",4862828,43157,5
326,"Rockwall, TX",4862828,43157,0
327,"Rockwall, TX",4862828,43157,1
328,"Rockwall, TX",4862828,43157,2
329,"Rockwall, TX",4862828,43157,3
330,"Round Rock, TX",4863500,120157,4
331,"Round Rock, TX",4863500,120157,5
332,"Round Rock, TX",4863500,120157,0
333,"Round Rock, TX",4863500,120157,1
334,"Round Rock, TX",4863500,120157,2
335,"Round Rock, TX",4863500,120157,3
336,"Rowlett, TX",4863572,62127,4
337,"Rowlett, TX",4863572,62127,5
338,"Rowlett, TX",4863572,62127,0
339,"Rowlett, TX",4863572,62127,1
340,"Rowlett, TX",4863572,62127,2
341,"Rowlett, TX",4863572,62127,3
342,"San Angelo, TX",4864472,99634,4
343,"San Angelo, TX",4864472,99634,5
344,"San Angelo, TX",4864472,99634,0
345,"San Angelo, TX",4864472,99634,1
346,"San Angelo, TX",4864472,99634,2
347,"San Angelo, TX",4864472,99634,3
348,"San Antonio, TX",4865000,1486521,4
349,"San Antonio, TX",4865000,1486521,5
350,"San Antonio, TX",4865000,1486521,0
351,"San Antonio, TX",4865000,1486521,1
352,"San Antonio, TX",4865000,1486521,2
353,"San Antonio, TX",4865000,1486521,3
354,"San Marcos, TX",4865600,61751,4
355,"San Marcos, TX",4865600,61751,5
356,"San Marcos, TX",4865600,61751,0
357,"San Marcos, TX",4865600,61751,1
358,"San Marcos, TX",4865600,61751,2
359,"San Marcos, TX",4865600,61751,3
360,"Sherman, TX",4867496,41149,4
361,"Sherman, TX",4867496,41149,5
362,"Sherman, TX",4867496,41149,0
363,"Sherman, TX",4867496,41149,1
364,"Sherman, TX",4867496,41149,2
365,"Sherman, TX",4867496,41149,3
366,"Spring, TX",4869596,58756,4
367,"Spring, TX",4869596,58756,5
368,"Spring, TX",4869596,58756,0
369,"Spring, TX",4869596,58756,1
370,"Spring, TX",4869596,58756,2
371,"Spring, TX",4869596,58756,3
372,"Stafford, TX",4869908,18110,4
373,"Stafford, TX",4869908,18110,5
374,"Stafford, TX",4869908,18110,0
375,"Stafford, TX",4869908,18110,1
376,"Stafford, TX",4869908,18110,2
377,"Stafford, TX",4869908,18110,3
378,"Sugar Land, TX",4870808,118182,4
379,"Sugar Land, TX",4870808,118182,5
380,"Sugar Land, TX",4870808,118182,0
381,"Sugar Land, TX",4870808,118182,1
382,"Sugar Land, TX",4870808,118182,2
383,"Sugar Land, TX",4870808,118182,3
384,"Temple, TX",4872176,73143,4
385,"Temple, TX",4872176,73143,5
386,"Temple, TX",4872176,73143,0
387,"Temple, TX",4872176,73143,1
388,"Temple, TX",4872176,73143,2
389,"Temple, TX",4872176,73143,3
390,"The Colony, TX",4872530,42215,4
391,"The Colony, TX",4872530,42215,5
392,"The Colony, TX",4872530,42215,0
393,"The Colony, TX",4872530,42215,1
394,"The Colony, TX",4872530,42215,2
395,"The Colony, TX",4872530,42215,3
396,"The Woodlands, TX",4872656,109843,4
397,"The Woodlands, TX",4872656,109843,5
398,"The Woodlands, TX",4872656,109843,0
399,"The Woodlands, TX",4872656,109843,1
400,"The Woodlands, TX",4872656,109843,2
401,"The Woodlands, TX",4872656,109843,3
402,"Tomball, TX",4873316,11644,4
403,"Tomball, TX",4873316,11644,5
404,"Tomball, TX",4873316,11644,0
405,"Tomball, TX",4873316,11644,1
406,"Tomball, TX",4873316,11644,2
407,"Tomball, TX",4873316,11644,3
408,"Tyler, TX",4874144,103721,4
409,"Tyler, TX",4874144,103721,5
410,"Tyler, TX",4874144,103721,0
411,"Tyler, TX",4874144,103721,1
412,"Tyler, TX",4874144,103721,2
413,"Tyler, TX",4874144,103721,3
414,"Universal City, TX",4874408,20265,4
415,"Universal City, TX",4874408,20265,5
416,"Universal City, TX",4874408,20265,0
417,"Universal City, TX",4874408,20265,1
418,"Universal City, TX",4874408,20265,2
419,"Universal City, TX",4874408,20265,3
420,"Victoria, TX",4875428,66939,4
421,"Victoria, TX",4875428,66939,5
422,"Victoria, TX",4875428,66939,0
423,"Victoria, TX",4875428,66939,1
424,"Victoria, TX",4875428,66939,2
425,"Victoria, TX",4875428,66939,3
426,"Waco, TX",4876000,133964,4
427,"Waco, TX",4876000,133964,5
428,"Waco, TX",4876000,133964,0
429,"Waco, TX",4876000,133964,1
430,"Waco, TX",4876000,133964,2
431,"Waco, TX",4876000,133964,3
432,"Weatherford, TX",4876864,29739,4
433,"Weatherford, TX",4876864,29739,5
434,"Weatherford, TX",4876864,29739,0
435,"Weatherford, TX",4876864,29739,1
436,"Weatherford, TX",4876864,29739,2
437,"Weatherford, TX",4876864,29739,3
438,"Webster, TX",4876948,11165,4
439,"Webster, TX",4876948,11165,5
440,"Webster, TX",4876948,11165,0
441,"Webster, TX",4876948,11165,1
442,"Webster, TX",4876948,11165,2
443,"Webster, TX",4876948,11165,3
