,#ERROR!,Metropolitan Area,Cost Burdened Renter Share (%),Severely Burdened Renter Share (%),Cost Burdened Owner Share (%),Severely Burdened Owner Share (%),Moderately Burdened Renter Households,Median Income of Renter Households,Median Income of Owner Households,Median Monthly Housing Cost of Renter Households,Median Monthly Housing Cost of Owner Households
0,1,New YorkNewarkJersey City NYNJPA,52.5,29.9,36.1,17.1,792800,43500,100000,1300,2020
1,2,Los AngelesLong BeachAnaheim CA,57.1,31.0,35.7,16.7,586500,44000,91950,1354,1883
2,3,ChicagoNapervilleElgin ILINWI,50.3,27.9,27.8,12.1,284900,37000,83000,1010,1415
3,4,DallasFort WorthArlington TX,45.9,22.7,22.3,8.6,234800,40100,81000,990,1252
4,5,HoustonThe WoodlandsSugar Land TX,46.7,24.2,20.5,8.8,211700,39600,84000,980,1204
5,6,WashingtonArlingtonAlexandria DCVAMDWV,45.9,22.6,23.9,9.2,191500,60000,118600,1550,1933
6,7,PhiladelphiaCamdenWilmington PANJDEMD,51.0,28.6,28.0,12.1,162900,37500,84000,1060,1404
7,8,MiamiFort LauderdaleWest Palm Beach FL,61.5,35.4,34.7,17.0,224800,35000,64500,1200,1220
8,9,AtlantaSandy SpringsRoswell GA,47.8,25.3,23.0,10.1,174700,39000,75600,1010,1167
9,10,BostonCambridgeNewton MANH,48.8,24.8,28.4,12.0,165600,45000,104070,1300,1844
10,11,San FranciscoOaklandHayward CA,46.4,24.0,30.4,13.2,175100,61000,117050,1614,2178
11,12,PhoenixMesaScottsdale AZ,47.3,24.3,23.9,10.6,145300,38910,70000,990,1095
12,13,RiversideSan BernardinoOntario CA,56.7,30.6,33.4,14.6,137400,37000,71000,1160,1390
13,14,DetroitWarrenDearborn MI,49.5,27.5,22.9,10.5,117700,30000,68000,870,988
14,15,SeattleTacomaBellevue WA,45.4,22.7,25.4,10.0,130200,50000,96400,1268,1662
15,16,MinneapolisSt PaulBloomington MNWI,46.4,23.3,20.1,7.6,97500,38600,88000,960,1310
16,17,San DiegoCarlsbad CA,54.6,28.4,34.2,15.0,139700,50000,90800,1440,1832
17,18,TampaSt PetersburgClearwater FL,50.5,26.1,25.7,11.5,105900,36000,59600,970,918
18,19,DenverAuroraLakewood CO,47.9,23.4,22.9,8.8,97500,45000,87000,1190,1410
19,20,St Louis MOIL,45.6,24.1,20.6,8.5,75600,32200,70050,820,1025
20,21,BaltimoreColumbiaTowson MD,47.8,25.4,24.5,10.8,80300,44000,92000,1172,1492
21,22,CharlotteConcordGastonia NCSC,45.9,23.4,22.7,10.1,72400,35000,69400,910,1025
22,23,PortlandVancouverHillsboro ORWA,47.6,24.3,25.1,9.5,81200,41600,81900,1047,1422
23,24,OrlandoKissimmeeSanford FL,54.6,27.6,26.8,11.6,90700,36000,63000,1053,1033
24,25,San AntonioNew Braunfels TX,44.2,21.5,22.1,8.0,71000,38000,68000,914,958
25,26,Pittsburgh PA,43.4,23.4,18.3,7.9,60600,29700,68920,750,850
26,27,SacramentoRosevilleArdenArcade CA,53.3,29.1,28.1,11.5,80600,37400,85000,1090,1483
27,28,Cincinnati OHKYIN,43.3,23.8,20.9,8.9,56100,31500,74000,779,1091
28,29,Las VegasHendersonParadise NV,52.1,27.0,24.4,10.6,90500,36000,68900,1000,1110
29,30,Kansas City MOKS,40.6,20.2,18.0,6.8,57500,36000,76000,868,1084
30,31,ClevelandElyria OH,46.8,24.2,21.5,8.4,67800,28900,67800,750,975
31,32,Columbus OH,45.4,23.4,20.6,7.1,67900,35000,77000,880,1170
32,33,AustinRound Rock TX,47.8,23.1,23.3,9.5,75400,44600,88100,1101,1393
33,34,IndianapolisCarmelAnderson IN,48.5,25.2,18.0,7.7,62900,31000,71600,833,1000
34,35,San JoseSunnyvaleSanta Clara CA,46.7,24.8,28.5,11.8,62200,76500,130200,1880,2311
35,36,NashvilleDavidsonMurfreesboroFranklin TN,45.0,22.1,20.0,8.4,53500,36000,72200,920,1040
36,37,Virginia BeachNorfolkNewport News VANC,54.3,27.3,27.5,10.9,68500,38000,74600,1080,1323
37,38,ProvidenceWarwick RIMA,46.0,25.9,27.8,11.0,50200,32500,82200,910,1438
38,39,MilwaukeeWaukeshaWest Allis WI,48.7,25.8,23.8,8.7,58100,33700,78000,840,1277
39,40,Jacksonville FL,49.8,24.3,24.0,11.3,50500,35900,66600,990,1025
40,41,Oklahoma City OK,43.6,20.1,19.8,8.5,43100,34300,66600,823,920
41,42,Memphis TNMSAR,50.2,26.6,22.3,9.4,46900,29000,65000,838,960
42,43,LouisvilleJefferson County KYIN,43.1,20.2,18.7,7.7,38000,31200,68010,767,940
43,44,Raleigh NC,42.9,21.6,18.6,7.2,35600,40100,84000,962,1230
44,45,Richmond VA,47.9,25.4,22.6,9.3,38800,38300,78900,1020,1230
45,46,New OrleansMetairie LA,54.8,30.9,23.6,10.6,45600,29000,65600,910,936
46,47,HartfordWest HartfordEast Hartford CT,47.4,27.2,27.1,10.3,31400,36600,94700,1030,1569
47,48,Salt Lake City UT,43.8,21.5,20.4,7.0,28100,39700,80000,960,1252
48,49,BirminghamHoover AL,45.9,27.7,21.7,9.3,25100,26900,64000,780,880
49,50,BuffaloCheektowagaNiagara Falls NY,48.6,28.9,18.0,7.2,32100,25400,70100,740,928
50,51,Rochester NY,52.7,29.0,21.7,8.0,33200,28000,72500,820,1057
51,52,Grand RapidsWyoming MI,46.3,27.9,17.5,6.2,20200,31500,66700,800,910
52,53,Tucson AZ,49.7,26.5,23.6,10.1,36000,30300,60300,820,895
53,54,Urban Honolulu HI,56.0,30.9,31.4,13.2,35300,58000,103000,1600,1820
54,55,Tulsa OK,42.4,20.7,19.6,7.6,30300,31000,65300,790,902
55,56,Fresno CA,54.7,30.5,27.3,11.8,34900,30000,67800,890,1171
56,57,BridgeportStamfordNorwalk CT,54.6,31.8,35.2,16.8,24700,43500,110000,1430,2197
57,58,Worcester MACT,45.7,23.3,26.8,10.7,27000,35500,87000,977,1504
58,59,OmahaCouncil Bluffs NEIA,43.9,23.4,18.3,7.5,25300,35000,80000,850,1134
59,60,Albuquerque NM,50.5,27.3,25.8,12.0,26300,30000,60000,820,1000
60,61,Bakersfield CA,49.6,25.7,25.3,11.8,27500,34000,69010,900,1097
61,62,AlbanySchenectadyTroy NY,46.4,25.8,18.9,7.5,25900,35000,82240,940,1185
62,63,GreenvilleAndersonMauldin SC,42.1,21.6,18.0,7.6,22400,30000,60000,768,785
63,64,Knoxville TN,44.1,21.8,17.9,8.0,24700,26700,61000,730,748
64,65,New HavenMilford CT,55.1,29.3,31.1,13.3,32100,35000,91900,1060,1556
65,66,OxnardThousand OaksVentura CA,55.5,25.8,32.7,13.7,29000,51700,100000,1560,2021
66,67,McAllenEdinburgMission TX,47.6,28.6,24.4,11.7,12900,25000,41000,700,558
67,68,El Paso TX,40.9,18.4,22.1,9.2,23000,30000,54500,765,828
68,69,AllentownBethlehemEaston PANJ,48.0,22.4,26.4,9.7,25300,36000,74200,1000,1283
69,70,Baton Rouge LA,49.3,28.5,19.7,9.3,19200,29150,69200,855,858
70,71,Columbia SC,48.7,25.2,21.1,10.1,23700,32000,62000,855,904
71,72,Dayton OH,43.9,23.5,21.6,8.9,25000,30000,65000,750,942
72,73,North PortSarasotaBradenton FL,50.0,24.8,24.3,10.8,23400,40000,61300,1048,866
73,74,GreensboroHigh Point NC,46.3,22.2,21.6,8.6,27000,30000,59480,760,883
74,75,CharlestonNorth Charleston SC,42.3,23.0,24.9,11.5,18400,40000,70000,1045,1124
75,76,Little RockNorth Little RockConway AR,47.7,26.8,19.9,8.7,21800,30000,64920,807,893
76,77,StocktonLodi CA,54.0,28.2,30.2,10.6,26100,34400,71500,1030,1367
77,78,Akron OH,44.7,23.0,18.2,6.3,21100,30000,68000,730,930
78,79,Cape CoralFort Myers FL,53.0,28.5,27.3,13.5,19800,35000,58000,1000,840
79,80,Colorado Springs CO,52.0,26.4,24.9,9.3,25500,36000,74000,1030,1250
80,81,Boise City ID,47.1,23.2,21.7,9.9,18300,32000,65000,830,1000
81,82,Syracuse NY,46.9,27.2,19.1,7.5,16800,30100,72000,800,994
82,83,WinstonSalem NC,43.9,22.1,19.8,8.4,19900,28000,59900,711,817
83,84,LakelandWinter Haven FL,53.7,26.2,22.4,10.6,20600,32500,51500,900,763
84,85,Wichita KS,43.3,22.2,17.7,8.4,18400,30000,62000,737,871
85,86,OgdenClearfield UT,45.2,19.8,17.7,5.0,13400,36420,77400,890,1176
86,87,Madison WI,44.6,19.7,20.4,6.9,26100,36160,83920,900,1342
87,88,Springfield MA,52.8,28.1,24.7,9.5,21900,28000,73900,920,1270
88,89,DeltonaDaytona BeachOrmond Beach FL,57.0,30.2,28.7,12.2,19600,30000,49010,963,790
89,90,Des MoinesWest Des Moines IA,43.4,23.0,19.2,7.1,15500,34000,74600,820,1118
90,91,Toledo OH,45.5,24.9,18.9,8.1,18700,27000,65000,700,887
91,92,AugustaRichmond County GASC,50.2,30.3,21.0,9.0,13900,27600,60000,808,873
92,93,ProvoOrem UT,39.1,18.6,20.5,7.6,10600,43000,79050,960,1260
93,94,Jackson MS,49.4,28.9,20.7,10.7,14800,26000,61000,830,848
94,95,Palm BayMelbourneTitusville FL,49.8,22.7,24.2,9.5,18200,36000,58000,970,836
95,96,HarrisburgCarlisle PA,47.4,22.9,20.4,6.5,18100,35600,71000,885,1088
96,97,ScrantonWilkesBarreHazleton PA,45.7,27.7,23.8,11.2,13000,27220,60000,740,815
97,98,DurhamChapel Hill NC,43.0,23.6,22.8,9.7,17500,35600,78500,930,1130
98,99,YoungstownWarrenBoardman OHPA,46.3,21.7,18.7,7.2,17000,24400,54000,640,678
99,100,SpokaneSpokane Valley WA,50.0,24.8,26.4,10.9,20800,29000,63160,770,1004
