,County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
0,Anderson,36027,2080020000,48461,45799,19.8,23.8
1,Andrews,51769,968334000,74918,69845,10.2,12.7
2,Angelina,39644,3437761000,51750,40974,15.6,22.6
3,Aransas,51614,1213451000,53085,39316,18.7,32.1
4,Archer,52335,447617000,63731,38006,10.3,12.8
5,Armstrong,53422,100807000,64424,42240,10.6,16.7
6,Atascosa,37644,1925578000,57309,55264,14.7,19.0
7,Austin,51118,1535171000,68311,49650,11.1,17.0
8,Bailey,44665,312657000,46174,39542,15.9,25.8
9,Bandera,44925,1038296000,59604,37215,12.9,23.6
10,Bastrop,38289,3397143000,62627,40661,14.0,23.8
11,Baylor,46615,163573000,41539,34452,15.9,24.5
12,Bee,29792,970173000,44171,38345,24.0,27.8
13,Bell,43919,15939217000,54831,48842,13.8,18.4
14,Bexar,47830,95829678000,58956,52560,15.2,22.4
15,Blanco,54814,653991000,68404,49686,8.6,14.7
16,Borden,61287,40082000,71926,41767,10.6,15.4
17,Bosque,42366,791602000,55179,41632,13.7,19.7
18,Bowie,41172,3839053000,51207,41088,16.8,23.3
19,Brazoria,48374,18104830000,83704,58755,8.6,11.1
20,Brazos,41348,9477504000,54471,42552,20.0,19.4
21,Brewster,48422,445624000,48581,40642,13.1,19.8
22,Briscoe,44413,68663000,44259,32043,15.0,24.6
23,Brooks,36558,259309000,31410,43244,29.6,44.4
24,Brown,39661,1501734000,56040,38752,13.7,21.8
25,Burleson,45970,847823000,61745,47721,13.8,21.8
26,Burnet,49731,2394797000,62827,43862,10.5,16.3
27,Caldwell,34617,1511526000,55301,38478,14.4,20.5
28,Calhoun,46208,983763000,55909,69405,14.7,22.6
29,Callahan,41962,585075000,50812,41919,12.1,18.7
30,Cameron,29928,12664258000,40893,34689,25.5,36.3
31,Camp,37111,485926000,47091,39949,16.6,26.1
32,Carson,48571,287829000,69760,85618,8.5,11.0
33,Cass,37566,1127953000,44529,37854,17.3,23.6
34,Castro,64427,485133000,51736,37842,15.3,22.7
35,Chambers,56610,2481633000,93351,68196,8.6,11.9
36,Cherokee,35245,1855486000,46576,37122,16.5,22.7
37,Childress,30731,224520000,44095,39493,21.9,25.9
38,Clay,44295,463811000,59983,38090,11.5,16.0
39,Cochran,39333,112216000,43742,41906,19.5,30.1
40,Coke,41669,141132000,48435,41707,13.1,17.9
41,Coleman,42683,348937000,44834,32780,17.7,30.4
42,Collin,68474,70852208000,96847,68366,6.1,6.8
43,Collingsworth,42026,122717000,40314,40776,19.8,35.8
44,Colorado,46909,1008214000,55607,44297,13.6,20.9
45,Comal,60056,9381221000,87976,45313,6.7,9.4
46,Comanche,43242,589606000,54122,35799,13.5,22.1
47,Concho,35758,97476000,43321,40265,15.1,27.0
48,Cooke,52875,2181468000,61186,48263,12.7,18.4
49,Coryell,35570,2701551000,53083,43292,11.8,15.7
50,Cottle,60260,84244000,40449,45590,18.9,32.5
51,Crane,51025,244768000,68626,58450,9.6,13.6
52,Crockett,44458,154002000,54165,44046,13.8,19.3
53,Crosby,37580,215596000,38871,39051,22.1,33.6
54,Culberson,59506,129188000,44462,55299,19.7,30.6
55,Dallam,64756,471877000,55793,45744,11.4,17.4
56,Dallas,62782,165463378000,61807,71047,14.0,20.9
57,Dawson,40131,510783000,48165,41594,20.6,28.9
58,Deaf Smith,52368,971214000,46178,43165,17.0,24.8
59,Delta,40622,216558000,51348,27058,16.0,25.5
60,Denton,59414,52712796000,90910,51064,6.5,7.1
61,DeWitt,59389,1197273000,52544,47891,17.1,24.3
62,Dickens,33843,74826000,41973,33430,19.4,26.2
63,Dimmit,38800,392812000,40315,58160,25.3,34.8
64,Donley,45531,149251000,41093,31965,16.4,24.5
65,Duval,39029,435444000,37100,38808,23.9,33.5
66,Eastland,78826,1447238000,46991,52027,16.7,24.2
67,Ector,50161,8337928000,65564,64472,12.1,17.0
68,Edwards,45429,87769000,40424,40388,20.7,34.5
69,El Paso,37715,31651549000,48629,39993,18.8,26.2
70,Ellis,45968,8496165000,78341,45867,8.7,12.8
71,Erath,40462,1727640000,53044,37314,15.2,18.9
72,Falls,35258,609859000,41484,38232,21.6,28.1
73,Fannin,39830,1414505000,56123,42205,13.2,16.1
74,Fayette,54552,1382683000,62195,42509,10.9,15.3
75,Fisher,44630,170934000,51053,43639,13.3,22.2
76,Floyd,44646,255020000,45022,36360,17.3,30.3
77,Foard,44895,51854000,38615,30348,17.0,26.2
78,Fort Bend,59653,48419712000,101361,52506,6.6,7.4
79,Franklin,41307,443022000,50630,43137,14.4,22.8
80,Freestone,38182,752829000,52511,42993,15.5,19.5
81,Frio,30223,613716000,40360,52360,27.7,35.9
82,Gaines,44405,954346000,67171,55226,13.2,19.5
83,Galveston,54250,18561154000,73214,51357,11.3,16.1
84,Garza,32601,203070000,48975,43816,24.2,24.4
85,Gillespie,63291,1708105000,62143,40023,8.5,13.6
86,Glasscock,84623,119234000,93759,56354,7.9,10.7
87,Goliad,45589,349121000,56758,42771,13.4,22.5
88,Gonzales,44789,933271000,48425,43715,16.2,23.7
89,Gray,44127,965766000,52543,50227,14.5,19.0
90,Grayson,43987,5991490000,57439,44719,11.6,17.1
91,Gregg,47109,5838955000,53137,48485,16.5,24.2
92,Grimes,36909,1065941000,51651,51571,15.9,20.5
93,Guadalupe,45797,7641166000,78801,46087,7.4,11.2
94,Hale,35633,1190367000,49187,38710,17.9,23.9
95,Hall,33095,98095000,35940,29765,25.4,40.5
96,Hamilton,60584,512599000,52505,38388,14.3,21.9
97,Hansford,65330,352717000,58703,55688,11.7,16.8
98,Hardeman,42023,165278000,40057,37028,19.2,32.9
99,Hardin,47221,2720004000,62616,44753,12.1,16.2
100,Harris,60002,282809166000,61638,72710,15.0,21.3
101,Harrison,42891,2854497000,55171,51401,17.8,26.8
102,Hartley,81238,452982000,72796,42036,8.6,8.3
103,Haskell,39899,225748000,38613,32726,20.7,29.0
104,Hays,45332,10435043000,72890,42158,11.2,11.3
105,Hemphill,57053,217886000,71299,62120,9.1,11.7
106,Henderson,40135,3320621000,49896,38325,17.5,30.3
107,Hidalgo,27415,23815443000,41656,35208,26.9,37.4
108,Hill,41240,1511408000,53210,42712,13.1,18.1
109,Hockley,42162,970619000,51149,59590,15.5,19.7
110,Hood,51384,3167445000,74534,45031,9.2,14.8
111,Hopkins,41562,1541276000,50332,40013,14.7,20.2
112,Houston,39609,909748000,43601,52396,20.9,28.8
113,Howard,43348,1589317000,61112,52657,17.0,18.6
114,Hudspeth,23569,115159000,39309,60645,28.0,41.2
115,Hunt,38892,3834561000,57513,50615,14.8,20.3
116,Hutchinson,43981,920878000,57936,64187,11.4,16.3
117,Irion,72177,110864000,68630,62897,7.4,9.0
118,Jack,40827,364786000,55358,50017,15.6,19.4
119,Jackson,46596,687760000,55800,47038,13.8,18.4
120,Jasper,40834,1450787000,47252,42528,19.5,28.2
121,Jeff Davis,43080,97963000,53362,34431,12.7,39.0
122,Jefferson,44613,11223148000,55173,58104,16.9,24.4
123,Jim Hogg,33602,174729000,38788,41009,22.8,35.0
124,Jim Wells,42174,1707270000,44444,49075,21.0,29.0
125,Johnson,43759,7693658000,66538,46847,11.0,15.9
126,Jones,32639,655494000,51094,39352,20.4,22.0
127,Karnes,56449,880663000,54843,59685,21.0,27.0
128,Kaufman,43972,5987018000,75009,44692,9.8,13.8
129,Kendall,81882,3883727000,94899,50465,7.4,10.9
130,Kenedy,42262,17074000,46132,71084,14.2,21.4
131,Kent,54630,41628000,52591,39451,11.5,14.1
132,Kerr,51768,2723001000,57789,43095,12.5,20.4
133,Kimble,44371,192438000,44757,32320,17.0,32.6
134,King,78849,21447000,71256,40803,11.0,16.7
135,Kinney,32219,118147000,47076,48042,18.9,24.7
136,Kleberg,41526,1274025000,47169,40842,23.3,31.0
137,Knox,39587,145046000,40808,44056,19.1,30.8
138,La Salle,39913,300145000,41683,71990,26.6,27.4
139,Lamar,43063,2147064000,47061,43680,18.4,27.3
140,Lamb,45655,588630000,42719,43457,18.5,26.1
141,Lampasas,50656,1085460000,58817,36542,12.4,19.2
142,Lavaca,53483,1077906000,52632,42403,11.0,14.5
143,Lee,50665,873419000,59250,54641,10.7,16.1
144,Leon,40056,697138000,50522,55633,14.4,22.2
145,Liberty,37874,3341225000,53274,48195,14.4,19.0
146,Limestone,37774,885313000,43644,45472,19.2,26.0
147,Lipscomb,77810,251560000,65388,53628,12.4,17.2
148,Live Oak,37415,456731000,54163,61089,16.5,23.0
149,Llano,49905,1087688000,55617,38913,10.8,20.7
150,Loving,53734,9081000,88487,78135,7.1,10.2
151,Lubbock,44311,13761558000,54733,45118,17.9,22.5
152,Lynn,43141,256735000,45737,48957,16.0,23.4
153,Madison,32648,466347000,46274,39384,17.8,22.2
154,Marion,39895,393125000,37876,34450,21.4,32.9
155,Martin,60844,351128000,68745,59153,12.1,17.9
156,Mason,47439,202754000,54914,34283,11.7,20.4
157,Matagorda,45237,1657614000,49276,56298,17.5,24.1
158,Maverick,31380,1842681000,40017,35059,26.9,40.3
159,McCulloch,38895,310537000,43262,41729,17.6,26.4
160,McLennan,42159,10818901000,51078,46902,18.0,22.6
161,McMullen,65250,48481000,68349,56402,10.5,13.8
162,Medina,41095,2119867000,60695,38571,12.2,19.4
163,Menard,37218,79573000,38425,28428,20.7,35.4
164,Midland,130983,23161978000,85811,78610,9.9,12.3
165,Milam,37238,924367000,48989,41661,16.3,25.1
166,Mills,39334,191673000,46876,34735,13.2,24.9
167,Mitchell,33593,287052000,44457,43530,19.5,23.4
168,Montague,42230,836915000,53649,42035,12.9,18.0
169,Montgomery,63424,38523113000,88833,58352,8.9,13.2
170,Moore,46108,965508000,55099,47714,11.9,15.1
171,Morris,41068,508749000,43304,52542,18.1,29.0
172,Motley,32988,39585000,40217,29981,17.6,30.9
173,Nacogdoches,38569,2514839000,46207,39314,20.9,26.3
174,Navarro,39652,1987095000,48649,39829,13.4,21.1
175,Newton,34265,465829000,45890,37910,22.8,28.3
176,Nolan,46066,677820000,46389,44936,17.5,23.6
177,Nueces,44889,16262836000,56079,49163,16.5,23.1
178,Ochiltree,60862,598643000,62567,49729,11.4,16.2
179,Oldham,55479,117172000,59404,42470,13.1,29.5
180,Orange,45663,3808098000,62976,54469,12.5,18.7
181,Palo Pinto,41193,1202391000,50159,46122,17.2,26.2
182,Panola,45467,1054569000,56882,49486,14.3,21.5
183,Parker,55811,7974098000,82501,45586,8.2,10.4
184,Parmer,49541,475842000,50607,44674,11.8,17.8
185,Pecos,39731,628667000,52763,50303,18.7,23.1
186,Polk,39818,2044752000,50416,41096,16.7,26.6
187,Potter,46086,5411245000,41138,47140,20.3,26.1
188,Presidio,46581,312276000,33499,42904,19.2,29.1
189,Rains,34819,435726000,65657,34052,13.4,22.9
190,Randall,49544,6822849000,70694,44893,9.0,12.1
191,Reagan,51945,199938000,67384,73895,8.9,12.2
192,Real,36070,124513000,40834,27178,17.7,32.7
193,Red River,43039,517458000,41325,36410,19.6,27.2
194,Reeves,45458,726234000,48990,67430,22.1,24.6
195,Refugio,46464,322835000,46883,42607,18.0,27.0
196,Roberts,48344,41286000,70705,47697,7.4,9.3
197,Robertson,42463,725012000,47016,45868,20.7,31.0
198,Rockwall,62237,6529641000,105763,42974,4.8,6.5
199,Runnels,41929,430361000,48650,37745,17.2,23.7
200,Rusk,37697,2050937000,56036,44895,15.4,20.4
201,Sabine,36627,386124000,43778,36876,17.6,26.6
202,San Augustine,42299,348414000,40094,44306,22.5,32.1
203,San Jacinto,36260,1046419000,42633,36308,16.8,26.2
204,San Patricio,46506,3103332000,57302,48784,14.4,20.6
205,San Saba,40521,245352000,46061,41989,20.7,34.4
206,Schleicher,42255,118018000,53286,47603,15.0,23.4
207,Scurry,42915,716802000,56299,57016,14.7,18.3
208,Shackelford,113163,369478000,65095,58647,12.7,17.5
209,Shelby,41767,1055615000,39708,40288,21.4,32.5
210,Sherman,97002,293139000,55473,46705,11.1,13.7
211,Smith,56292,13102118000,59538,46803,12.9,17.8
212,Somervell,45812,418168000,67897,65884,9.4,14.2
213,Starr,27713,1791172000,32516,31251,32.5,43.2
214,Stephens,43971,411828000,46658,39063,17.0,26.9
215,Sterling,61920,79939000,66790,45189,10.7,12.9
216,Stonewall,58541,79030000,48267,41116,15.1,20.2
217,Sutton,61646,232776000,63427,66193,13.1,17.8
218,Swisher,51779,383008000,44388,38412,20.6,29.1
219,Tarrant,53292,112046590000,70130,57802,10.2,13.9
220,Taylor,47793,6597086000,54465,44118,14.0,18.9
221,Terrell,49591,38483000,45677,41992,17.5,20.7
222,Terry,37741,465616000,42953,45301,21.6,31.0
223,Throckmorton,41454,62223000,42746,31200,13.9,27.2
224,Titus,37070,1214043000,49924,38269,16.3,23.2
225,Tom Green,48876,5826055000,54774,45109,12.9,17.4
226,Travis,71666,91299737000,80690,69809,10.8,13.6
227,Trinity,36062,528344000,43788,34744,17.9,29.8
228,Tyler,32978,714706000,48254,35994,17.2,23.3
229,Upshur,37563,1568358000,53078,39921,14.9,21.1
230,Upton,47118,172310000,58908,78995,13.8,18.8
231,Uvalde,41116,1099483000,44690,35851,19.8,29.9
232,Val Verde,38331,1879200000,45034,38256,20.8,28.9
233,Van Zandt,39609,2241467000,55554,36491,13.6,19.5
234,Victoria,48938,4506415000,57344,47507,14.3,22.6
235,Walker,29838,2177308000,47519,41910,21.4,22.4
236,Waller,42456,2345508000,61822,46350,13.2,18.2
237,Ward,53870,646330000,61396,65553,12.4,15.8
238,Washington,55735,1999888000,59039,40911,10.6,17.5
239,Webb,32466,8981800000,52576,37237,20.9,28.7
240,Wharton,45221,1879217000,49901,41926,16.4,21.5
241,Wheeler,44309,224025000,58544,47217,11.6,17.5
242,Wichita,44479,5881416000,51535,41493,13.9,17.4
243,Wilbarger,46314,591379000,42570,38348,14.9,21.4
244,Willacy,27584,589147000,35821,37959,30.5,38.1
245,Williamson,53145,31384616000,92661,61857,5.4,6.5
246,Wilson,46448,2372083000,76905,41496,8.3,11.7
247,Winkler,63667,509969000,64894,69953,12.5,17.9
248,Wise,44870,3140164000,70468,48240,8.3,11.7
249,Wood,39803,1812585000,56945,38780,14.3,22.3
250,Yoakum,44932,391489000,62636,65683,10.6,14.9
251,Young,50732,913684000,52643,43489,13.6,20.4
252,Zapata,28936,410289000,36069,52913,30.1,43.7
253,Zavala,30779,364421000,32538,39689,29.6,40.4
