per_capita_income,total_personal_income,median_household_income,average_annual_pay,percentage_of_population_under_18_in_poverty
36027,2080020000,48461,45799,23.8
51769,968334000,74918,69845,12.7
39644,3437761000,51750,40974,22.6
51614,1213451000,53085,39316,32.1
52335,447617000,63731,38006,12.8
53422,100807000,64424,42240,16.7
37644,1925578000,57309,55264,19
51118,1535171000,68311,49650,17
44665,312657000,46174,39542,25.8
44925,1038296000,59604,37215,23.6
38289,3397143000,62627,40661,23.8
46615,163573000,41539,34452,24.5
29792,970173000,44171,38345,27.8
43919,15939217000,54831,48842,18.4
47830,95829678000,58956,52560,22.4
54814,653991000,68404,49686,14.7
61287,40082000,71926,41767,15.4
42366,791602000,55179,41632,19.7
41172,3839053000,51207,41088,23.3
48374,18104830000,83704,58755,11.1
41348,9477504000,54471,42552,19.4
48422,445624000,48581,40642,19.8
44413,68663000,44259,32043,24.6
36558,259309000,31410,43244,44.4
39661,1501734000,56040,38752,21.8
45970,847823000,61745,47721,21.8
49731,2394797000,62827,43862,16.3
34617,1511526000,55301,38478,20.5
46208,983763000,55909,69405,22.6
41962,585075000,50812,41919,18.7
29928,12664258000,40893,34689,36.3
37111,485926000,47091,39949,26.1
48571,287829000,69760,85618,11
37566,1127953000,44529,37854,23.6
64427,485133000,51736,37842,22.7
56610,2481633000,93351,68196,11.9
35245,1855486000,46576,37122,22.7
30731,224520000,44095,39493,25.9
44295,463811000,59983,38090,16
39333,112216000,43742,41906,30.1
41669,141132000,48435,41707,17.9
42683,348937000,44834,32780,30.4
68474,70852208000,96847,68366,6.8
42026,122717000,40314,40776,35.8
46909,1008214000,55607,44297,20.9
60056,9381221000,87976,45313,9.4
43242,589606000,54122,35799,22.1
35758,97476000,43321,40265,27
52875,2181468000,61186,48263,18.4
35570,2701551000,53083,43292,15.7
60260,84244000,40449,45590,32.5
51025,244768000,68626,58450,13.6
44458,154002000,54165,44046,19.3
37580,215596000,38871,39051,33.6
59506,129188000,44462,55299,30.6
64756,471877000,55793,45744,17.4
62782,1.65E+11,61807,71047,20.9
40131,510783000,48165,41594,28.9
52368,971214000,46178,43165,24.8
40622,216558000,51348,27058,25.5
59414,52712796000,90910,51064,7.1
59389,1197273000,52544,47891,24.3
33843,74826000,41973,33430,26.2
38800,392812000,40315,58160,34.8
45531,149251000,41093,31965,24.5
39029,435444000,37100,38808,33.5
78826,1447238000,46991,52027,24.2
50161,8337928000,65564,64472,17
45429,87769000,40424,40388,34.5
37715,31651549000,48629,39993,26.2
45968,8496165000,78341,45867,12.8
40462,1727640000,53044,37314,18.9
35258,609859000,41484,38232,28.1
39830,1414505000,56123,42205,16.1
54552,1382683000,62195,42509,15.3
44630,170934000,51053,43639,22.2
44646,255020000,45022,36360,30.3
44895,51854000,38615,30348,26.2
59653,48419712000,101361,52506,7.4
41307,443022000,50630,43137,22.8
38182,752829000,52511,42993,19.5
30223,613716000,40360,52360,35.9
44405,954346000,67171,55226,19.5
54250,18561154000,73214,51357,16.1
32601,203070000,48975,43816,24.4
63291,1708105000,62143,40023,13.6
84623,119234000,93759,56354,10.7
45589,349121000,56758,42771,22.5
44789,933271000,48425,43715,23.7
44127,965766000,52543,50227,19
43987,5991490000,57439,44719,17.1
47109,5838955000,53137,48485,24.2
36909,1065941000,51651,51571,20.5
45797,7641166000,78801,46087,11.2
35633,1190367000,49187,38710,23.9
33095,98095000,35940,29765,40.5
60584,512599000,52505,38388,21.9
65330,352717000,58703,55688,16.8
42023,165278000,40057,37028,32.9
47221,2720004000,62616,44753,16.2
60002,2.83E+11,61638,72710,21.3
42891,2854497000,55171,51401,26.8
81238,452982000,72796,42036,8.3
39899,225748000,38613,32726,29
45332,10435043000,72890,42158,11.3
57053,217886000,71299,62120,11.7
40135,3320621000,49896,38325,30.3
27415,23815443000,41656,35208,37.4
41240,1511408000,53210,42712,18.1
42162,970619000,51149,59590,19.7
51384,3167445000,74534,45031,14.8
41562,1541276000,50332,40013,20.2
39609,909748000,43601,52396,28.8
43348,1589317000,61112,52657,18.6
23569,115159000,39309,60645,41.2
38892,3834561000,57513,50615,20.3
43981,920878000,57936,64187,16.3
72177,110864000,68630,62897,9
40827,364786000,55358,50017,19.4
46596,687760000,55800,47038,18.4
40834,1450787000,47252,42528,28.2
43080,97963000,53362,34431,39
44613,11223148000,55173,58104,24.4
33602,174729000,38788,41009,35
42174,1707270000,44444,49075,29
43759,7693658000,66538,46847,15.9
32639,655494000,51094,39352,22
56449,880663000,54843,59685,27
43972,5987018000,75009,44692,13.8
81882,3883727000,94899,50465,10.9
42262,17074000,46132,71084,21.4
54630,41628000,52591,39451,14.1
51768,2723001000,57789,43095,20.4
44371,192438000,44757,32320,32.6
78849,21447000,71256,40803,16.7
32219,118147000,47076,48042,24.7
41526,1274025000,47169,40842,31
39587,145046000,40808,44056,30.8
39913,300145000,41683,71990,27.4
43063,2147064000,47061,43680,27.3
45655,588630000,42719,43457,26.1
50656,1085460000,58817,36542,19.2
53483,1077906000,52632,42403,14.5
50665,873419000,59250,54641,16.1
40056,697138000,50522,55633,22.2
37874,3341225000,53274,48195,19
37774,885313000,43644,45472,26
77810,251560000,65388,53628,17.2
37415,456731000,54163,61089,23
49905,1087688000,55617,38913,20.7
53734,9081000,88487,78135,10.2
44311,13761558000,54733,45118,22.5
43141,256735000,45737,48957,23.4
32648,466347000,46274,39384,22.2
39895,393125000,37876,34450,32.9
60844,351128000,68745,59153,17.9
47439,202754000,54914,34283,20.4
45237,1657614000,49276,56298,24.1
31380,1842681000,40017,35059,40.3
38895,310537000,43262,41729,26.4
42159,10818901000,51078,46902,22.6
65250,48481000,68349,56402,13.8
41095,2119867000,60695,38571,19.4
37218,79573000,38425,28428,35.4
130983,23161978000,85811,78610,12.3
37238,924367000,48989,41661,25.1
39334,191673000,46876,34735,24.9
33593,287052000,44457,43530,23.4
42230,836915000,53649,42035,18
63424,38523113000,88833,58352,13.2
46108,965508000,55099,47714,15.1
41068,508749000,43304,52542,29
32988,39585000,40217,29981,30.9
38569,2514839000,46207,39314,26.3
39652,1987095000,48649,39829,21.1
34265,465829000,45890,37910,28.3
46066,677820000,46389,44936,23.6
44889,16262836000,56079,49163,23.1
60862,598643000,62567,49729,16.2
55479,117172000,59404,42470,29.5
45663,3808098000,62976,54469,18.7
41193,1202391000,50159,46122,26.2
45467,1054569000,56882,49486,21.5
55811,7974098000,82501,45586,10.4
49541,475842000,50607,44674,17.8
39731,628667000,52763,50303,23.1
39818,2044752000,50416,41096,26.6
46086,5411245000,41138,47140,26.1
46581,312276000,33499,42904,29.1
34819,435726000,65657,34052,22.9
49544,6822849000,70694,44893,12.1
51945,199938000,67384,73895,12.2
36070,124513000,40834,27178,32.7
43039,517458000,41325,36410,27.2
45458,726234000,48990,67430,24.6
46464,322835000,46883,42607,27
48344,41286000,70705,47697,9.3
42463,725012000,47016,45868,31
62237,6529641000,105763,42974,6.5
41929,430361000,48650,37745,23.7
37697,2050937000,56036,44895,20.4
36627,386124000,43778,36876,26.6
42299,348414000,40094,44306,32.1
36260,1046419000,42633,36308,26.2
46506,3103332000,57302,48784,20.6
40521,245352000,46061,41989,34.4
42255,118018000,53286,47603,23.4
42915,716802000,56299,57016,18.3
113163,369478000,65095,58647,17.5
41767,1055615000,39708,40288,32.5
97002,293139000,55473,46705,13.7
56292,13102118000,59538,46803,17.8
45812,418168000,67897,65884,14.2
27713,1791172000,32516,31251,43.2
43971,411828000,46658,39063,26.9
61920,79939000,66790,45189,12.9
58541,79030000,48267,41116,20.2
61646,232776000,63427,66193,17.8
51779,383008000,44388,38412,29.1
53292,1.12E+11,70130,57802,13.9
47793,6597086000,54465,44118,18.9
49591,38483000,45677,41992,20.7
37741,465616000,42953,45301,31
41454,62223000,42746,31200,27.2
37070,1214043000,49924,38269,23.2
48876,5826055000,54774,45109,17.4
71666,91299737000,80690,69809,13.6
36062,528344000,43788,34744,29.8
32978,714706000,48254,35994,23.3
37563,1568358000,53078,39921,21.1
47118,172310000,58908,78995,18.8
41116,1099483000,44690,35851,29.9
38331,1879200000,45034,38256,28.9
39609,2241467000,55554,36491,19.5
48938,4506415000,57344,47507,22.6
29838,2177308000,47519,41910,22.4
42456,2345508000,61822,46350,18.2
53870,646330000,61396,65553,15.8
55735,1999888000,59039,40911,17.5
32466,8981800000,52576,37237,28.7
45221,1879217000,49901,41926,21.5
44309,224025000,58544,47217,17.5
44479,5881416000,51535,41493,17.4
46314,591379000,42570,38348,21.4
27584,589147000,35821,37959,38.1
53145,31384616000,92661,61857,6.5
46448,2372083000,76905,41496,11.7
63667,509969000,64894,69953,17.9
44870,3140164000,70468,48240,11.7
39803,1812585000,56945,38780,22.3
44932,391489000,62636,65683,14.9
50732,913684000,52643,43489,20.4
28936,410289000,36069,52913,43.7
30779,364421000,32538,39689,40.4
